"Word","FREQcount","CDcount","Dom_PoS_SUBTLEX","Percentage_dom_PoS"
"dilate",12,11,"Verb","1.00"
"dilated",86,69,"Verb","0.84"
"dilates",2,2,"Verb","1.00"
"dilating",5,4,"Verb","0.60"
"dilation",29,16,"Noun","1.00"
"dilations",4,4,"Noun","1.00"
"dilator",1,1,"Noun","1.00"
"dilators",1,1,"Noun","1.00"
"dilatory",2,2,"Adjective","1.00"
"dildo",68,34,"Noun","1.00"
"dildoes",1,1,"Noun","1.00"
"dildos",11,10,"Noun","1.00"
"dilemma",133,114,"Noun","1.00"
"dilemmas",6,5,"Noun","1.00"
"dilettante",13,13,"Noun","1.00"
"dilettantes",4,3,"Noun","1.00"
"dilettanti",1,1,"Noun","1.00"
"diligence",39,37,"Noun","1.00"
"diligent",40,25,"Adjective","1.00"
"diligently",18,16,"Adverb","1.00"
"dill",90,33,"Name","0.47"
"dilling",2,1,"Verb","1.00"
"dills",2,2,"Noun","1.00"
"dilly",17,15,"Adverb","0.76"
"dillydally",2,2,"Adverb","1.00"
"dillydallying",1,1,"Verb","1.00"
"dilute",19,18,"Verb","0.89"
"diluted",22,22,"Verb","0.95"
"dilutes",4,4,"Verb","1.00"
"diluting",7,6,"Verb","1.00"
"dilution",2,2,"Noun","1.00"
"dim",243,155,"Verb","0.51"
"dime",615,473,"Noun","1.00"
"dimension",236,133,"Noun","1.00"
"dimensional",55,27,"Adjective","1.00"
"dimensionality",1,1,"Noun","1.00"
"dimensionally",3,2,"Adverb","1.00"
"dimensions",117,94,"Noun","1.00"
"dimer",1,1,"Noun","1.00"
"dimes",91,73,"Noun","1.00"
"dimethyl",7,3,"Name","0.71"
"dimethyltryptamine",1,1,"Noun","1.00"
"diminish",42,42,"Verb","1.00"
"diminished",63,57,"Verb","0.59"
"diminishes",7,7,"Verb","1.00"
"diminishing",24,24,"Verb","0.58"
"diminishment",2,2,"Noun","1.00"
"diminuendo",1,1,"Noun","1.00"
"diminution",2,2,"Noun","1.00"
"diminutive",20,19,"Adjective","0.65"
"dimity",1,1,"Noun","1.00"
"dimly",12,12,"Adverb","0.92"
"dimmed",13,11,"Verb","1.00"
"dimmer",17,12,"Noun","0.53"
"dimmers",2,2,"Noun","1.00"
"dimmest",3,3,"Adjective","1.00"
"dimming",13,8,"Verb","0.69"
"dimmock",2,2,"Name","1.00"
"dimmy",11,2,"Noun","0.45"
"dimple",19,17,"Noun","0.89"
"dimpled",10,10,"Adjective","1.00"
"dimples",67,37,"Noun","0.76"
"dimply",1,1,"Adverb","1.00"
"dims",1,1,"Verb","1.00"
"dimwit",38,31,"Noun","0.58"
"dimwits",6,6,"Noun","0.83"
"dimwitted",12,12,"Verb","0.50"
"dimwittedness",1,1,"Noun","1.00"
"din",60,25,"Noun","0.61"
"dinar",18,14,"Noun","1.00"
"dinars",34,17,"Noun","1.00"
"dine",219,169,"Verb","1.00"
"dined",45,41,"Verb","1.00"
"diner",632,321,"Noun","1.00"
"dinero",21,18,"Noun","0.95"
"dineros",2,2,"Noun","1.00"
"diners",41,34,"Noun","1.00"
"dines",9,9,"Verb","1.00"
"dinette",9,7,"Noun","0.89"
"dinettes",3,3,"Noun","1.00"
"ding",307,131,"Unclassified","0.80"
"dingbat",7,7,"Noun","1.00"
"dingbats",6,5,"Noun","1.00"
"dingdong",3,3,"Noun","1.00"
"dinge",10,4,"Name","0.50"
"dinged",9,8,"Verb","0.89"
"dinger",5,5,"Noun","0.80"
"dinghies",1,1,"Noun","1.00"
"dinghy",36,25,"Noun","1.00"
"dinging",6,5,"Verb","0.83"
"dingle",12,11,"Noun","0.58"
"dingleberry",9,6,"Noun","1.00"
"dingly",2,2,"Name","0.50"
"dingman",8,3,"Name","1.00"
"dingo",66,20,"Noun","0.52"
"dingoes",6,4,"Noun","1.00"
"dings",89,46,"Noun","0.78"
"dingus",16,9,"Noun","0.94"
"dingy",31,25,"Adjective","1.00"
"dining",598,444,"Noun","0.86"
"dink",245,28,"Name","0.60"
"dinked",1,1,"Verb","1.00"
"dinkey",4,2,"Noun","0.50"
"dinkies",1,1,"Noun","1.00"
"dinking",1,1,"Adjective","1.00"
"dinks",10,8,"Noun","0.90"
"dinkum",1,1,"Noun","1.00"
"dinky",52,33,"Noun","0.98"
"dinner",10336,3958,"Noun","1.00"
"dinners",238,196,"Noun","1.00"
"dinnertime",91,77,"Noun","1.00"
"dinnerware",7,6,"Noun","1.00"
"dinnery",1,1,"Noun","1.00"
"dinning",4,4,"Noun","0.50"
"dinos",8,3,"Noun","1.00"
"dinosaur",203,116,"Noun","1.00"
"dinosaurs",136,87,"Noun","1.00"
"dint",4,3,"Noun","1.00"
"diocesan",3,2,"Adjective","1.00"
"diocese",41,7,"Noun","1.00"
"dioceses",3,2,"Noun","1.00"
"diode",7,6,"Noun","1.00"
"diodes",3,3,"Noun","1.00"
"diogenes",4,4,"Name","0.75"
"dionysian",5,5,"Adjective","1.00"
"dionysus",7,3,"Name","1.00"
"diorama",20,14,"Noun","0.95"
"dioramas",6,6,"Noun","1.00"
"dioramic",1,1,"Adjective","1.00"
"dioxide",52,34,"Noun","1.00"
"dioxin",5,3,"Noun","1.00"
"dioxins",3,3,"Noun","1.00"
"dip",406,317,"Verb","0.61"
"diphenyl",1,1,"Noun","1.00"
"diphenyls",1,1,"Noun","1.00"
"diphtheria",29,24,"Noun","1.00"
"diphthong",4,2,"Noun","1.00"
"diphthongization",1,1,"Noun","1.00"
"diphthongs",2,2,"Noun","1.00"
"diplex",1,1,"Verb","1.00"
"diplococci",1,1,"Noun","1.00"
"diploma",129,103,"Noun","1.00"
"diplomacy",81,67,"Noun","1.00"
"diplomas",26,22,"Noun","1.00"
"diplomat",109,79,"Noun","1.00"
"diplomatic",256,144,"Adjective","1.00"
"diplomatically",6,6,"Adverb","1.00"
"diplomatist",3,2,"Noun","1.00"
"diplomats",45,38,"Noun","1.00"
"dipped",94,90,"Verb","1.00"
"dipper",33,27,"Noun","0.97"
"dippers",1,1,"Noun","1.00"
"dippiest",1,1,"Adjective","1.00"
"dipping",66,60,"Verb","0.55"
"dippy",21,19,"Adjective","1.00"
"dips",32,27,"Verb","0.53"
"dipsomania",2,2,"Noun","1.00"
"dipsomaniac",4,4,"Noun","1.00"
"dipsomaniacs",1,1,"Noun","1.00"
"dipsos",1,1,"Noun","1.00"
"dipstick",25,24,"Noun","0.96"
"dipsticks",1,1,"Noun","1.00"
"dipsy",21,5,"Adjective","0.52"
"diptych",1,1,"Noun","1.00"
"dir",4,4,"Noun","0.67"
"dire",112,92,"Adjective","1.00"
"direct",1226,931,"Adjective","0.69"
"directable",1,1,"Adjective","1.00"
"directed",308,246,"Verb","0.96"
"directing",174,124,"Verb","0.91"
"direction",1228,979,"Noun","1.00"
"directional",19,18,"Adjective","1.00"
"directionality",6,6,"Noun","1.00"
"directionless",4,3,"Name","0.50"
"directions",494,392,"Noun","1.00"
"directive",90,65,"Noun","1.00"
"directives",22,18,"Noun","1.00"
"directly",1084,875,"Adverb","1.00"
"directness",12,12,"Noun","1.00"
"director",1834,809,"Noun","0.99"
"directorate",13,11,"Noun","1.00"
"directorial",6,5,"Adjective","1.00"
"directories",9,8,"Noun","1.00"
"directors",295,206,"Noun","1.00"
"directorship",3,3,"Noun","1.00"
"directory",84,74,"Noun","1.00"
"directress",1,1,"Noun","1.00"
"directs",18,16,"Verb","1.00"
"direness",1,1,"Noun","1.00"
"direst",3,3,"Adjective","1.00"
"dirge",9,8,"Noun","1.00"
"dirges",1,1,"Noun","1.00"
"dirham",3,1,"Noun","1.00"
"dirhams",2,1,"Noun","1.00"
"dirigible",1,1,"Adjective","1.00"
"dirk",137,32,"Name","0.97"
"dirks",1,1,"Name","1.00"
"dirndl",1,1,"Verb","1.00"
"dirt",1310,814,"Noun","1.00"
"dirtied",15,14,"Verb","1.00"
"dirtier",23,22,"Adjective","0.87"
"dirties",5,5,"Verb","1.00"
"dirtiest",40,37,"Adjective","1.00"
"dirtily",1,1,"Adverb","1.00"
"dirtiness",4,4,"Noun","1.00"
"dirts",2,2,"Noun","1.00"
"dirty",3389,2060,"Adjective","0.89"
"dirtying",6,6,"Verb","1.00"
"dis",77,48,"Determiner","0.88"
"disabilities",15,14,"Noun","1.00"
"disability",101,79,"Noun","1.00"
"disable",79,59,"Verb","1.00"
"disabled",177,135,"Adjective","0.75"
"disables",4,4,"Verb","1.00"
"disabling",17,17,"Verb","0.53"
"disabuse",4,4,"Verb","1.00"
"disabused",1,1,"Verb","1.00"
"disadvantage",57,57,"Noun","1.00"
"disadvantaged",17,17,"Adjective","0.94"
"disadvantageous",1,1,"Adjective","1.00"
"disadvantages",16,13,"Noun","1.00"
"disaffected",7,6,"Adjective","1.00"
"disagree",338,308,"Verb","1.00"
"disagreeable",49,43,"Adjective","1.00"
"disagreed",42,42,"Verb","1.00"
"disagreeing",14,12,"Verb","1.00"
"disagreement",78,76,"Noun","1.00"
"disagreements",24,22,"Noun","1.00"
"disagrees",23,23,"Verb","1.00"
"disallow",1,1,"Verb","1.00"
"disallowed",12,6,"Verb","1.00"
"disallows",2,2,"Verb","1.00"
"disappear",1069,837,"Verb","1.00"
"disappearance",220,165,"Noun","1.00"
"disappearances",16,16,"Noun","1.00"
"disappeared",1469,1009,"Verb","0.97"
"disappearer",1,1,"Name","1.00"
"disappearing",215,195,"Verb","0.62"
"disappears",232,203,"Verb","1.00"
"disappoint",431,389,"Verb","1.00"
"disappointed",1124,928,"Adjective","0.89"
"disappointing",175,159,"Adjective","0.84"
"disappointment",277,253,"Noun","1.00"
"disappointments",38,37,"Noun","1.00"
"disappoints",16,16,"Verb","1.00"
"disapproval",31,29,"Noun","1.00"
"disapprove",58,50,"Verb","1.00"
"disapproved",7,6,"Verb","1.00"
"disapproves",13,12,"Verb","1.00"
"disapproving",15,14,"Adjective","1.00"
"disapprovingly",2,2,"Adverb","1.00"
"disarm",109,85,"Verb","1.00"
"disarmament",15,10,"Noun","1.00"
"disarmed",47,41,"Verb","1.00"
"disarming",26,23,"Verb","0.77"
"disarmingly",1,1,"Adverb","1.00"
"disarms",12,12,"Verb","1.00"
"disarrange",1,1,"Verb","1.00"
"disarranged",3,3,"Verb","1.00"
"disarranging",1,1,"Verb","1.00"
"disarray",17,14,"Noun","1.00"
"disarticulated",2,2,"Verb","1.00"
"disarticulation",1,1,"Noun","1.00"
"disassemble",11,10,"Verb","1.00"
"disassembled",8,6,"Verb","1.00"
"disassembling",3,3,"Verb","1.00"
"disassembly",3,3,"Adverb","1.00"
"disassociate",7,7,"Verb","1.00"
"disassociated",6,6,"Verb","0.83"
"disassociates",1,1,"Verb","1.00"
"disassociating",2,2,"Verb","1.00"
"disaster",881,684,"Noun","1.00"
"disasters",85,70,"Noun","1.00"
"disastrous",85,81,"Adjective","1.00"
"disastrously",7,6,"Adverb","1.00"
"disavow",4,4,"Verb","1.00"
"disavowed",7,5,"Verb","0.86"
"disavowing",1,1,"Verb","1.00"
"disband",27,19,"Verb","1.00"
"disbanded",28,25,"Verb","1.00"
"disbanding",6,6,"Verb","1.00"
"disbar",4,4,"Noun","0.75"
"disbarment",6,6,"Noun","1.00"
"disbarred",56,46,"Verb","0.80"
"disbelief",25,21,"Noun","1.00"
"disbelieve",8,7,"Verb","1.00"
"disbeliever",4,3,"Verb","1.00"
"disbelievers",3,3,"Verb","1.00"
"disbelieving",1,1,"Verb","1.00"
"disboweled",1,1,"Verb","1.00"
"disbursal",1,1,"Noun","1.00"
"disburse",2,2,"Verb","1.00"
"disbursed",1,1,"Adjective","1.00"
"disbursement",4,3,"Noun","1.00"
"disbursements",1,1,"Noun","1.00"
"disburses",2,2,"Verb","1.00"
"disbursing",2,1,"Verb","1.00"
"disc",131,77,"Noun","1.00"
"discard",55,40,"Verb","0.96"
"discardable",1,1,"Adjective","1.00"
"discarded",62,57,"Verb","0.65"
"discarding",3,3,"Verb","1.00"
"discards",3,2,"Verb","1.00"
"discarnate",1,1,"Adjective","1.00"
"discern",17,15,"Verb","1.00"
"discernable",2,2,"Adjective","1.00"
"discerned",2,2,"Verb","1.00"
"discernible",9,7,"Adjective","1.00"
"discerning",30,27,"Adjective","0.97"
"discernment",2,2,"Noun","1.00"
"discharge",327,238,"Noun","0.68"
"discharged",226,176,"Verb","1.00"
"discharges",11,11,"Noun","0.64"
"discharging",25,22,"Verb","0.96"
"disciple",52,31,"Noun","0.88"
"disciples",82,54,"Noun","1.00"
"discipleship",2,2,"Noun","1.00"
"disciplinarian",10,9,"Noun","1.00"
"disciplinary",82,64,"Adjective","1.00"
"discipline",462,335,"Noun","1.00"
"disciplined",88,78,"Adjective","0.57"
"disciplines",4,4,"Noun","1.00"
"disciplining",13,12,"Verb","0.62"
"disclaim",5,5,"Verb","1.00"
"disclaimer",4,4,"Noun","1.00"
"disclaimers",3,3,"Noun","1.00"
"disclose",88,74,"Verb","1.00"
"disclosed",41,34,"Verb","1.00"
"discloser",2,2,"Noun","1.00"
"discloses",7,7,"Verb","1.00"
"disclosing",10,10,"Verb","1.00"
"disclosure",51,40,"Noun","1.00"
"disclosures",3,3,"Noun","1.00"
"disco",294,153,"Noun","1.00"
"discoed",1,1,"Verb","1.00"
"discoing",1,1,"Verb","1.00"
"discoloration",31,26,"Noun","1.00"
"discolorations",1,1,"Noun","1.00"
"discolored",7,7,"Verb","0.71"
"discolour",1,1,"Verb","1.00"
"discombobulate",1,1,"Verb","1.00"
"discombobulated",4,3,"Verb","0.50"
"discombobulation",2,2,"Noun","1.00"
"discomfited",2,2,"Verb","1.00"
"discomfiting",2,2,"Verb","1.00"
"discomfiture",7,7,"Noun","1.00"
"discomfort",81,70,"Noun","1.00"
"discomforted",1,1,"Verb","1.00"
"discomforting",2,2,"Adjective","1.00"
"discomforts",3,3,"Noun","1.00"
"disconcerted",4,2,"Verb","1.00"
"disconcerting",27,27,"Adjective","0.96"
"disconcerts",1,1,"Verb","1.00"
"disconfirm",1,1,"Verb","1.00"
"disconnect",94,84,"Verb","1.00"
"disconnected",159,137,"Verb","0.84"
"disconnecting",3,3,"Verb","1.00"
"disconnection",4,4,"Noun","1.00"
"disconnects",6,6,"Verb","1.00"
"discontent",46,32,"Noun","1.00"
"discontented",6,6,"Adjective","1.00"
"discontents",1,1,"Noun","1.00"
"discontiguous",1,1,"Name","1.00"
"discontinuation",1,1,"Noun","1.00"
"discontinue",34,30,"Verb","1.00"
"discontinued",34,33,"Verb","0.91"
"discontinues",1,1,"Verb","1.00"
"discontinuing",4,4,"Verb","0.75"
"discontinuities",1,1,"Noun","1.00"
"discord",52,17,"Noun","1.00"
"discordance",4,1,"Noun","0.75"
"discordant",16,8,"Adjective","1.00"
"discordantly",2,1,"Adverb","1.00"
"discords",3,2,"Noun","1.00"
"discos",6,5,"Noun","1.00"
"discotheque",10,8,"Noun","1.00"
"discotheques",2,2,"Noun","1.00"
"discount",243,195,"Noun","0.89"
"discounted",7,6,"Verb","1.00"
"discounting",7,7,"Verb","1.00"
"discounts",21,16,"Noun","1.00"
"discourage",68,63,"Verb","1.00"
"discouraged",81,79,"Verb","1.00"
"discouragement",4,4,"Noun","1.00"
"discourages",8,8,"Verb","1.00"
"discouraging",41,38,"Adjective","0.63"
"discourse",20,20,"Noun","1.00"
"discourses",4,4,"Noun","1.00"
"discourteous",12,10,"Adjective","1.00"
"discourteously",2,2,"Name","0.50"
"discourtesy",6,6,"Noun","1.00"
"discover",614,532,"Verb","1.00"
"discovered",1467,1133,"Verb","1.00"
"discoverer",10,7,"Noun","1.00"
"discoverers",2,2,"Noun","1.00"
"discoveries",54,46,"Noun","1.00"
"discovering",107,102,"Verb","1.00"
"discovers",97,70,"Verb","1.00"
"discovery",584,337,"Noun","1.00"
"discredit",46,40,"Verb","1.00"
"discreditable",1,1,"Adjective","1.00"
"discredited",19,19,"Verb","0.68"
"discrediting",5,5,"Verb","1.00"
"discredits",1,1,"Verb","1.00"
"discreet",207,177,"Adjective","1.00"
"discreetly",41,39,"Adverb","1.00"
"discrepancies",28,21,"Noun","1.00"
"discrepancy",45,41,"Noun","1.00"
"discrete",17,15,"Adjective","1.00"
"discretely",2,2,"Adverb","1.00"
"discretion",187,161,"Noun","1.00"
"discretionary",21,20,"Adjective","1.00"
"discriminate",41,38,"Verb","1.00"
"discriminated",11,11,"Verb","1.00"
"discriminating",25,23,"Adjective","0.68"
"discrimination",111,83,"Noun","1.00"
"discriminative",1,1,"Adjective","1.00"
"discriminator",1,1,"Noun","1.00"
"discriminatory",8,8,"Adjective","1.00"
"discs",34,26,"Noun","1.00"
"discus",12,8,"Noun","1.00"
"discuss",2329,1675,"Verb","1.00"
"discussable",1,1,"Adjective","1.00"
"discussed",538,467,"Verb","1.00"
"discusses",10,10,"Verb","1.00"
"discussing",481,418,"Verb","1.00"
"discussion",619,543,"Noun","1.00"
"discussions",86,72,"Noun","1.00"
"disdain",27,24,"Noun","0.96"
"disdained",1,1,"Verb","1.00"
"disdainful",3,3,"Adjective","1.00"
"disdaining",1,1,"Verb","1.00"
"disdains",2,2,"Verb","1.00"
"disease",1335,820,"Noun","1.00"
"diseased",58,53,"Adjective","1.00"
"diseases",196,164,"Noun","1.00"
"disembark",18,14,"Verb","1.00"
"disembarkation",2,2,"Noun","1.00"
"disembarked",3,3,"Verb","1.00"
"disembarking",5,4,"Verb","1.00"
"disembodied",21,15,"Adjective","0.90"
"disembodiment",1,1,"Noun","1.00"
"disembody",1,1,"Noun","1.00"
"disembogue",1,1,"Noun","1.00"
"disembowel",5,5,"Noun","1.00"
"disemboweled",11,9,"Verb","1.00"
"disemboweling",1,1,"Verb","1.00"
"disembowelled",1,1,"Name","1.00"
"disembowelling",4,3,"Verb","0.75"
"disembowelment",3,3,"Noun","1.00"
"disempower",2,2,"Verb","1.00"
"disenchanted",6,5,"Adjective","1.00"
"disenchanting",1,1,"Adjective","1.00"
"disenchantment",4,4,"Noun","1.00"
"disenfranchise",1,1,"Verb","1.00"
"disenfranchised",18,17,"Adjective","0.83"
"disenfranchisement",1,1,"Noun","1.00"
"disengage",54,40,"Verb","1.00"
"disengaged",20,18,"Verb","1.00"
"disengagement",6,5,"Noun","1.00"
"disengaging",7,6,"Verb","1.00"
"disentangle",3,3,"Verb","1.00"
"disentangled",1,1,"Verb","1.00"
"disentwine",1,1,"Verb","1.00"
"disequilibrium",1,1,"Noun","1.00"
"disfavor",3,3,"Noun","1.00"
"disfavour",1,1,"Noun","1.00"
"disfigure",4,4,"Verb","1.00"
"disfigured",31,28,"Verb","0.81"
"disfigurement",7,7,"Noun","1.00"
"disfigurements",2,2,"Noun","1.00"
"disfigures",2,2,"Verb","1.00"
"disfiguring",9,9,"Verb","0.56"
"disfunction",1,1,"Noun","1.00"
"disfunctions",1,1,"Noun","1.00"
"disgorged",1,1,"Verb","1.00"
"disgorgement",1,1,"Noun","1.00"
"disgorging",1,1,"Verb","1.00"
"disgrace",409,336,"Noun","0.92"
"disgraced",83,77,"Adjective","0.54"
"disgraceful",93,80,"Adjective","1.00"
"disgracefully",7,5,"Adverb","0.86"
"disgraces",3,3,"Verb","1.00"
"disgracing",13,13,"Verb","0.92"
"disgruntled",53,47,"Adjective","1.00"
"disguise",398,290,"Noun","0.77"
"disguised",133,121,"Verb","0.85"
"disguiser",1,1,"Noun","1.00"
"disguises",39,34,"Noun","0.87"
"disguising",17,17,"Verb","1.00"
"disgust",141,121,"Noun","1.00"
"disgusted",90,79,"Adjective","0.82"
"disgustedly",1,1,"Adverb","1.00"
"disgusting",1357,990,"Adjective","1.00"
"disgustingly",15,15,"Adverb","1.00"
"disgustingness",2,2,"Noun","1.00"
"disgusts",26,25,"Verb","1.00"
"dish",584,443,"Noun","0.87"
"dishabille",1,1,"Noun","1.00"
"disharmony",4,4,"Noun","1.00"
"dishcloths",1,1,"Noun","1.00"
"dishearten",1,1,"Verb","1.00"
"disheartened",2,2,"Verb","1.00"
"disheartening",4,4,"Noun","0.50"
"disheartens",1,1,"Verb","1.00"
"dished",11,10,"Verb","1.00"
"disher",6,2,"Name","1.00"
"dishes",605,443,"Noun","1.00"
"disheveled",9,9,"Verb","0.67"
"dishevelled",5,5,"Adjective","1.00"
"dishevelment",1,1,"Noun","1.00"
"dishing",13,13,"Verb","1.00"
"dishonest",132,115,"Adjective","1.00"
"dishonestly",1,1,"Adverb","1.00"
"dishonesty",29,29,"Noun","1.00"
"dishonor",61,50,"Noun","1.00"
"dishonorable",32,23,"Adjective","1.00"
"dishonorably",9,8,"Adverb","1.00"
"dishonored",21,15,"Verb","0.90"
"dishonoring",4,4,"Verb","1.00"
"dishonors",2,2,"Noun","1.00"
"dishonour",23,13,"Verb","0.61"
"dishonourable",9,8,"Adjective","1.00"
"dishonoured",15,12,"Verb","0.60"
"dishonouring",1,1,"Verb","1.00"
"dishpan",8,8,"Noun","1.00"
"dishrag",5,5,"Noun","1.00"
"dishrags",1,1,"Noun","1.00"
"dishtowel",2,2,"Noun","1.00"
"dishtowels",3,3,"Noun","1.00"
"dishware",1,1,"Noun","1.00"
"dishwasher",103,76,"Noun","1.00"
"dishwashers",9,9,"Noun","1.00"
"dishwashing",17,13,"Adjective","0.65"
"dishwater",11,11,"Noun","0.70"
"dishy",9,8,"Adjective","1.00"
"disillusion",12,12,"Verb","1.00"
"disillusioned",29,29,"Verb","0.66"
"disillusioning",6,6,"Verb","0.50"
"disillusionment",14,13,"Noun","1.00"
"disillusions",1,1,"Verb","1.00"
"disimpassioned",1,1,"Adjective","1.00"
"disinclination",2,2,"Noun","1.00"
"disinclined",3,3,"Adjective","1.00"
"disinfect",20,18,"Verb","0.95"
"disinfectant",40,37,"Noun","1.00"
"disinfected",6,6,"Verb","0.83"
"disinfecting",3,3,"Verb","1.00"
"disinfection",4,3,"Noun","1.00"
"disinfects",3,3,"Verb","1.00"
"disinformation",12,10,"Noun","1.00"
"disingenuous",7,7,"Adjective","1.00"
"disinherit",14,10,"Verb","1.00"
"disinheritance",1,1,"Noun","1.00"
"disinherited",9,8,"Verb","0.89"
"disinheriting",1,1,"Verb","1.00"
"disinhibition",1,1,"Noun","1.00"
"disintegrate",26,25,"Verb","1.00"
"disintegrated",18,16,"Verb","1.00"
"disintegrates",9,9,"Verb","1.00"
"disintegrating",13,10,"Verb","0.77"
"disintegration",12,11,"Noun","1.00"
"disintegrations",1,1,"Noun","1.00"
"disintegrator",7,5,"Noun","1.00"
"disintegrators",2,2,"Noun","1.00"
"disinter",3,1,"Verb","1.00"
"disinterest",6,6,"Noun","1.00"
"disinterested",18,15,"Adjective","1.00"
"disinterestedness",1,1,"Noun","1.00"
"disinterment",2,2,"Noun","1.00"
"disinterred",1,1,"Adjective","1.00"
"disinvite",7,5,"Noun","1.00"
"disjoin",1,1,"Verb","1.00"
"disjoint",2,2,"Adjective","1.00"
"disjointed",8,8,"Adjective","1.00"
"disjunct",1,1,"Adjective","1.00"
"disk",338,128,"Noun","1.00"
"diskette",15,3,"Noun","1.00"
"diskettes",2,2,"Noun","1.00"
"disks",81,38,"Noun","1.00"
"dislike",200,169,"Verb","0.80"
"disliked",28,27,"Verb","0.96"
"dislikes",31,30,"Verb","0.65"
"disliking",9,8,"Verb","1.00"
"dislocate",10,8,"Verb","0.90"
"dislocated",76,58,"Verb","0.73"
"dislocates",1,1,"Verb","1.00"
"dislocation",15,14,"Noun","1.00"
"dislocations",1,1,"Noun","1.00"
"dislodge",13,13,"Verb","1.00"
"dislodged",15,13,"Verb","0.87"
"dislodging",1,1,"Verb","1.00"
"disloyal",49,32,"Adjective","1.00"
"disloyalty",23,22,"Noun","1.00"
"dismal",48,43,"Adjective","1.00"
"dismantle",46,41,"Verb","1.00"
"dismantled",23,18,"Verb","1.00"
"dismantles",2,2,"Verb","1.00"
"dismantling",20,19,"Verb","0.60"
"dismasted",1,1,"Verb","1.00"
"dismay",23,23,"Noun","1.00"
"dismayed",22,17,"Adjective","0.59"
"dismaying",1,1,"Adjective","1.00"
"dismember",16,16,"Verb","1.00"
"dismembered",30,30,"Verb","0.53"
"dismembering",3,2,"Verb","1.00"
"dismemberment",18,16,"Noun","1.00"
"dismemberments",1,1,"Noun","1.00"
"dismiss",279,205,"Verb","1.00"
"dismissal",57,50,"Noun","1.00"
"dismissed",622,463,"Verb","1.00"
"dismisses",2,2,"Verb","1.00"
"dismissible",1,1,"Adjective","1.00"
"dismissing",26,23,"Verb","0.88"
"dismissive",23,21,"Adjective","1.00"
"dismissively",2,1,"Adverb","1.00"
"dismount",73,49,"Verb","1.00"
"dismounted",6,4,"Verb","1.00"
"dismounting",2,2,"Verb","1.00"
"dismounts",2,2,"Verb","1.00"
"disney",130,95,"Name","0.99"
"disneyland",153,110,"Name","1.00"
"disobedience",39,34,"Noun","1.00"
"disobedient",11,11,"Adjective","1.00"
"disobey",84,74,"Verb","1.00"
"disobeyed",91,77,"Verb","0.96"
"disobeying",32,30,"Verb","1.00"
"disobeys",9,9,"Verb","1.00"
"disodium",2,1,"Noun","1.00"
"disorder",364,246,"Noun","1.00"
"disordered",7,7,"Adjective","0.71"
"disorderly",69,57,"Adjective","1.00"
"disorders",57,51,"Noun","1.00"
"disorganised",4,4,"Verb","0.75"
"disorganization",6,6,"Noun","1.00"
"disorganize",2,1,"Verb","1.00"
"disorganized",53,44,"Verb","0.54"
"disorient",4,4,"Noun","0.50"
"disorientate",2,2,"Verb","1.00"
"disorientated",4,4,"Adjective","1.00"
"disorientates",1,1,"Verb","1.00"
"disorientation",29,25,"Noun","1.00"
"disoriented",62,58,"Adjective","0.98"
"disorienting",11,10,"Verb","0.55"
"disorients",1,1,"Noun","1.00"
"disown",21,19,"Verb","1.00"
"disowned",15,15,"Verb","1.00"
"disowning",3,2,"Verb","1.00"
"disowns",1,1,"Verb","1.00"
"disparage",44,44,"Verb","1.00"
"disparaged",15,14,"Verb","1.00"
"disparagement",1,1,"Noun","1.00"
"disparages",1,1,"Verb","1.00"
"disparaging",16,16,"Adjective","1.00"
"disparagingly",2,2,"Adverb","1.00"
"disparate",7,7,"Adjective","1.00"
"disparities",3,2,"Noun","1.00"
"disparity",10,9,"Noun","1.00"
"dispassion",3,3,"Noun","1.00"
"dispassionate",7,6,"Adjective","0.57"
"dispassionately",5,5,"Adverb","1.00"
"dispatch",350,251,"Verb","0.50"
"dispatched",81,76,"Verb","1.00"
"dispatcher",75,54,"Noun","0.92"
"dispatchers",5,5,"Noun","1.00"
"dispatches",39,19,"Noun","1.00"
"dispatching",16,15,"Verb","0.94"
"dispel",14,14,"Verb","1.00"
"dispelled",4,4,"Verb","1.00"
"dispelling",1,1,"Verb","1.00"
"dispels",1,1,"Verb","1.00"
"dispensable",9,8,"Adjective","1.00"
"dispensary",21,14,"Noun","1.00"
"dispensation",18,14,"Noun","1.00"
"dispensations",1,1,"Noun","1.00"
"dispense",69,59,"Verb","1.00"
"dispensed",27,24,"Verb","0.96"
"dispenser",52,37,"Noun","0.96"
"dispensers",5,5,"Noun","1.00"
"dispenses",6,6,"Verb","1.00"
"dispensing",15,15,"Verb","0.87"
"dispersal",23,19,"Noun","1.00"
"disperse",91,66,"Verb","1.00"
"dispersed",21,19,"Verb","0.67"
"disperses",5,5,"Verb","1.00"
"dispersing",11,5,"Verb","0.55"
"dispersion",3,3,"Noun","1.00"
"dispersions",1,1,"Noun","1.00"
"dispirit",3,2,"Verb","0.67"
"dispirited",2,2,"Verb","0.50"
"displace",21,14,"Verb","1.00"
"displaced",46,41,"Verb","0.52"
"displacement",43,32,"Noun","1.00"
"displacements",1,1,"Noun","1.00"
"displaces",2,2,"Verb","1.00"
"displacing",5,5,"Verb","1.00"
"display",435,374,"Noun","0.73"
"displayed",75,69,"Verb","0.97"
"displaying",30,28,"Verb","1.00"
"displays",64,63,"Noun","0.59"
"displease",22,22,"Verb","0.91"
